FechaObservacion,ValorObservado,NombreEstacion,Latitud,Longitud
3/19/2018 12:00,22.08907,ESPERANZA LA  - AUT,4.45,-75.25
10/20/2016 12:00,24.7,BATALLON ROOKE  - AUT,4.418388889,-75.24866667
1/28/2017 12:00,20.2,CERROS NOROCCIDENTALES  - AUT,4.470361111,-75.24386111
9/12/2018 12:00,24.3,CERROS NOROCCIDENTALES  - AUT,4.470361111,-75.24386111
7/1/2019 12:00,23.42144,ESPERANZA LA  - AUT,4.45,-75.25
2/23/2015 12:00,26.8,BATALLON ROOKE  - AUT,4.418388889,-75.24866667
6/25/2015 12:00,25.2,BATALLON ROOKE  - AUT,4.418388889,-75.24866667
4/15/2015 12:00,23,CERROS NOROCCIDENTALES  - AUT,4.470361111,-75.24386111
7/3/2015 12:00,24.2,CERROS NOROCCIDENTALES  - AUT,4.470361111,-75.24386111
8/19/2018 12:00,23.45299,ESPERANZA LA  - AUT,4.45,-75.25
6/5/2016 12:00,28.6,BATALLON ROOKE  - AUT,4.418388889,-75.24866667
1/25/2017 12:00,24,BATALLON ROOKE  - AUT,4.418388889,-75.24866667
8/31/2018 12:00,27.5,BATALLON ROOKE  - AUT,4.418388889,-75.24866667
10/30/2015 12:00,21.8,CERROS NOROCCIDENTALES  - AUT,4.470361111,-75.24386111
2/16/2015 12:00,23.1,CERROS NOROCCIDENTALES  - AUT,4.470361111,-75.24386111
9/4/2017 12:00,28.47588,ESPERANZA LA  - AUT,4.45,-75.25
11/27/2018 12:00,22.6,BATALLON ROOKE  - AUT,4.418388889,-75.24866667
4/11/2016 12:00,27.8,BATALLON ROOKE  - AUT,4.418388889,-75.24866667
5/30/2018 12:00,23.6,BATALLON ROOKE  - AUT,4.418388889,-75.24866667
12/24/2018 12:00,20,CERROS NOROCCIDENTALES  - AUT,4.470361111,-75.24386111
8/21/2016 12:00,26.8,ESPERANZA LA  - AUT,4.45,-75.25
3/23/2018 12:00,23.7,BATALLON ROOKE  - AUT,4.418388889,-75.24866667
7/5/2016 12:00,25.9,BATALLON ROOKE  - AUT,4.418388889,-75.24866667
10/26/2017 12:00,21.7561,ESPERANZA LA  - AUT,4.45,-75.25
6/28/2019 12:00,14.1,EL SILENCIO - AUT,4.600222222,-75.336
7/30/2018 12:00,22.9,BATALLON ROOKE  - AUT,4.418388889,-75.24866667
5/25/2018 12:00,25.97622,ESPERANZA LA  - AUT,4.45,-75.25
5/1/2017 12:00,26.2,BATALLON ROOKE  - AUT,4.418388889,-75.24866667
11/19/2018 12:00,25.11727,ESPERANZA LA  - AUT,4.45,-75.25
3/24/2015 12:00,25.6,BATALLON ROOKE  - AUT,4.418388889,-75.24866667
7/24/2015 12:00,26.8,BATALLON ROOKE  - AUT,4.418388889,-75.24866667
7/18/2016 12:00,24.1,BATALLON ROOKE  - AUT,4.418388889,-75.24866667
4/16/2017 12:00,26.2,CERROS NOROCCIDENTALES  - AUT,4.470361111,-75.24386111
8/1/2016 12:00,25.5,ESPERANZA LA  - AUT,4.45,-75.25
3/26/2019 12:00,20.19485,ESPERANZA LA  - AUT,4.45,-75.25
4/26/2018 12:00,18.6,CERROS NOROCCIDENTALES  - AUT,4.470361111,-75.24386111
12/31/2015 12:00,28.1,BATALLON ROOKE  - AUT,4.418388889,-75.24866667
10/22/2016 12:00,21.4,CERROS NOROCCIDENTALES  - AUT,4.470361111,-75.24386111
12/24/2015 12:00,28.5,BATALLON ROOKE  - AUT,4.418388889,-75.24866667
6/27/2015 12:00,18.5,CERROS NOROCCIDENTALES  - AUT,4.470361111,-75.24386111
10/13/2016 12:00,22.3,CERROS NOROCCIDENTALES  - AUT,4.470361111,-75.24386111
3/19/2017 12:00,23.1,ESPERANZA LA  - AUT,4.45,-75.25
6/20/2017 12:00,24.7,BATALLON ROOKE  - AUT,4.418388889,-75.24866667
12/7/2018 12:00,23,CERROS NOROCCIDENTALES  - AUT,4.470361111,-75.24386111
